종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"0001A0","덕양에너젠","KOSDAQ","","8800","-640","-6.78","224126865600"
"000250","삼천당제약","KOSDAQ","","160700","-6500","-3.89","3769615750400"
"000440","중앙에너비스","KOSDAQ","","13200","-350","-2.58","82198116000"
"0004V0","엔비알모션","KOSDAQ","","5910","-120","-1.99","65071369440"
"0004Y0","디비금융제14호스팩","KOSDAQ","","1993","-4","-0.2","10592795000"
"0007C0","아크릴","KOSDAQ","","17250","1570","10.01","138523089000"
"0007J0","인벤테라","KOSDAQ","","8770","-50","-0.57","68982311780"
"0008Z0","에스엔시스","KOSDAQ","","23800","-350","-1.45","224590223200"
"0009K0","에임드바이오","KOSDAQ","","22650","-1050","-4.43","1464801796650"
"001000","신라섬유","KOSDAQ","","2190","-120","-5.19","10633562520"
"0010F0","보원케미칼","KOSDAQ","","2345","35","1.52","26131744345"
"0010V0","제이피아이헬스케어","KOSDAQ","","8770","20","0.23","44774358000"
"0011A0","액스비스","KOSDAQ","","13100","1400","11.97","122271994000"
"0011T0","채비","KOSDAQ","","5120","-190","-3.58","240381905920"
"0013V0","삼진식품","KOSDAQ","","5290","60","1.15","52469690240"
"001540","안국약품","KOSDAQ","","10160","10","0.1","132510987200"
"0015G0","그린광학","KOSDAQ","","13920","-660","-4.53","162899370720"
"0015N0","아로마티카","KOSDAQ","","10590","490","4.85","133189603980"
"0015S0","페스카로","KOSDAQ","","7900","940","13.51","77947167000"
"0017J0","세미티에스","KOSDAQ","","2665","55","2.11","80352524265"
"001810","무림SP","KOSDAQ","","1189","2","0.17","26321487500"
"001840","이화공영","KOSDAQ","","2215","0","0.00","62588831935"
"002230","피에스텍","KOSDAQ","","5040","-100","-1.95","92842192800"
"002290","삼일기업공사","KOSDAQ","","3375","20","0.6","41850000000"
"002680","한탑","KOSDAQ","","2760","-75","-2.65","17838870840"
"002800","신신제약","KOSDAQ","","4560","-85","-1.83","69177480000"
"003100","선광","KOSDAQ","","20550","-200","-0.96","135630000000"
"003310","대주산업","KOSDAQ","","1689","-46","-2.65","59777679150"
"003380","하림지주","KOSDAQ","","11460","20","0.17","1283584416660"
"0037T0","KB제32호스팩","KOSDAQ","","1991","-2","-0.1","12603030000"
"003800","에이스침대","KOSDAQ","","32700","100","0.31","362643000000"
"0039P0","매드업","KOSDAQ","","9450","-220","-2.28","177729930000"
"0041B0","교보18호스팩","KOSDAQ","","2005","0","0.00","10105200000"
"0041J0","엘에스스팩1호","KOSDAQ","","1985","0","0.00","8158350000"
"0041L0","하나35호스팩","KOSDAQ","","1994","0","0.00","12023820000"
"0044K0","삼성스팩10호","KOSDAQ","","1992","-1","-0.05","14979840000"
"004590","한국가구","KOSDAQ","","5030","10","0.2","75450000000"
