종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","1317","107","8.84",,,,,"933","1.41","0","0.00"
"095570","AJ네트웍스","4460","105","2.41","635","7.02","615","7.25","10216","0.44","330","7.40"
"006840","AK홀딩스","6360","40","0.63",,,,,"31492","0.20","0","0.00"
"054620","APS","4445","240","5.71",,,,,"11700","0.38","0","0.00"
"079810","APS이노베이션","3830","150","4.08","4","957.50",,,"7818","0.49","0","0.00"
"265520","AP시스템","25400","2150","9.25","1605","15.83",,,"24853","1.02","340","1.34"
"211270","AP위성","12260","-330","-2.62",,,,,"7297","1.68","0","0.00"
"027410","BGF","4105","35","0.86","618","6.64","674","6.09","18674","0.22","130","3.17"
"282330","BGF리테일","129300","1300","1.02","11303","11.44","13495","9.58","76009","1.70","4100","3.17"
"126600","BGF에코머티리얼즈","3175","135","4.44","226","14.05",,,"6634","0.48","50","1.57"
"138930","BNK금융지주","17670","850","5.05","2512","7.03","2881","6.13","34780","0.51","735","4.16"
"001460","BYC","37050","1150","3.20","2367","15.65",,,"68791","0.54","400","1.08"
"001465","BYC우","25300","400","1.61",,,,,,,"405","1.60"
"083790","CG인바이츠","889","48","5.71",,,,,"1144","0.78","0","0.00"
"001040","CJ","174500","1500","0.87","4271","40.86","12226","14.27","155346","1.12","3300","1.89"
"079160","CJ CGV","4505","75","1.69",,,,,"3444","1.31","0","0.00"
"035760","CJ ENM","38100","0","0.00","1422","26.79","3528","10.80","134460","0.28","0","0.00"
"311690","CJ 바이오사이언스","4890","-10","-0.20",,,,,"4105","1.19","0","0.00"
"00104K","CJ4우(전환)","163400","3400","2.13",,,,,,,"3350","2.05"
"000120","CJ대한통운","82700","2900","3.63","11347","7.29","12410","6.66","207860","0.40","800","0.97"
"011150","CJ씨푸드","2110","75","3.69","78","27.05",,,"2447","0.86","0","0.00"
"011155","CJ씨푸드1우","9610","90","0.95",,,,,,,"0","0.00"
"001045","CJ우","73300","300","0.41",,,,,,,"3350","4.57"
"097950","CJ제일제당","198700","4000","2.05",,,"26395","7.53","440524","0.45","6000","3.02"
"097955","CJ제일제당 우","124300","2800","2.30",,,,,,,"6050","4.87"
"051500","CJ프레시웨이","23700","100","0.42","3961","5.98","5532","4.28","38342","0.62","500","2.11"
"058820","CMG제약","1122","22","2.00",,,,,"1363","0.82","0","0.00"
"056730","CNT85","1792","72","4.19",,,,,"4200","0.43","0","0.00"
"000480","CR홀딩스","4840","90","1.89",,,,,"13605","0.36","410","8.47"
"065770","CS","1706","61","3.71",,,,,"1799","0.95","0","0.00"
"083660","CSA 코스믹","395","91","29.93",,,,,"229","1.72","0","0.00"
"000590","CS홀딩스","71900","-800","-1.10","16782","4.28",,,"320744","0.22","500","0.70"
"012030","DB","1969","59","3.09","259","7.60",,,"2351","0.84","0","0.00"
"477760","DB금융스팩12호","2050","-5","-0.24",,,,,,,"0","0.00"
"005830","DB손해보험","148200","8200","5.86","29597","5.01","24621","6.02","179423","0.83","7600","5.13"
"016610","DB증권","10730","380","3.67","2029","5.29",,,"27483","0.39","550","5.13"
"000990","DB하이텍","174300","19100","12.31","6285","27.73","9060","19.24","50326","3.46","810","0.46"
"099520","DGI","1284","0","0.00",,,,,"509","2.52","0","0.00"
"000300","DH오토넥스","4200","0","0.00","101","41.58",,,"874","4.81","0","0.00"
"290120","DH오토리드","2570","20","0.78","888","2.89",,,"6278","0.41","100","3.89"
"025440","DH오토웨어","730","26","3.69",,,,,"1084","0.67","0","0.00"
"001530","DI동일","23250","800","3.56",,,"804","28.93","25027","0.93","100","0.43"
"015590","DKME","2040","-30","-1.45",,,,,"2640","0.77","0","0.00"
"000210","DL","54000","2000","3.85",,,"11608","4.65","177828","0.30","0","0.00"
"000215","DL우","23500","700","3.07",,,,,,,"0","0.00"
"375500","DL이앤씨","73900","3700","5.27","8746","8.45","9993","7.39","126050","0.59","890","1.20"
"37550L","DL이앤씨2우(전환)","45250","2450","5.72",,,,,,,"890","1.97"
"37550K","DL이앤씨우","24300","1500","6.58",,,,,,,"940","3.87"
"068790","DMS","5250","180","3.55","5910","0.89",,,"19235","0.27","250","4.76"
"007340","DN오토모티브","40300","350","0.88","5440","7.41","5645","7.14","38780","1.04","1000","2.48"
"004840","DRB동일","4450","130","3.01","232","19.18",,,"20966","0.21","80","1.80"
"241520","DSC인베스트먼트","11270","290","2.64","669","16.85",,,"4874","2.31","40","0.35"
"155660","DSR","4280","120","2.88","935","4.58",,,"15284","0.28","250","5.84"
"069730","DSR제강","5290","120","2.32","1713","3.09",,,"13053","0.41","430","8.13"
"017860","DS단석","14970","20","0.13",,,,,"15304","0.98","10","0.07"
"180400","DXVX","2530","-110","-4.17",,,,,"954","2.65","0","0.00"
"092780","DYP","4385","60","1.39","617","7.11",,,"11386","0.39","80","1.82"
"017940","E1","87600","2700","3.18","18124","4.83","32026","2.74","349725","0.25","4550","5.19"
"418620","E8","1076","35","3.36",,,,,"735","1.46","0","0.00"
"245620","EDGC","741","0","0.00","364","2.04",,,,,"0","0.00"
"037370","EG","3445","15","0.44",,,,,"6992","0.49","0","0.00"
"050120","ES큐브","2720","-385","-12.40",,,,,"6819","0.40","0","0.00"
"383220","F&F","85900","2700","3.25","10611","8.10","12510","6.87","50123","1.71","2700","3.14"
"007700","F&F홀딩스","16490","-110","-0.66","3218","5.12",,,"59179","0.28","500","3.03"
"214270","FSN","1308","-9","-0.68",,,,,"1408","0.93","0","0.00"
"032620","GC메디아이","3190","65","2.08","729","4.38",,,"2787","1.14","50","1.57"
"130500","GH신소재","2065","55","2.74",,,,,"5566","0.37","0","0.00"
"114090","GKL","12070","-240","-1.95","761","15.86","1018","11.86","7137","1.69","414","3.43"
"078930","GS","72500","800","1.12","8435","8.60","13817","5.25","155303","0.47","3000","4.14"
"083450","GST","64900","4900","8.17","2533","25.62",,,"16838","3.85","650","1.00"
"006360","GS건설","28800","2600","9.92","1073","26.84","3621","7.95","56462","0.51","500","1.74"
"001250","GS글로벌","2980","145","5.11","241","12.37","305","9.78","6576","0.45","25","0.84"
"007070","GS리테일","24550","800","3.37","520","47.21","2630","9.33","39303","0.62","600","2.44"
"078935","GS우","53600","1100","2.10",,,,,,,"3050","5.69"
"499790","GS피앤엘","48200","-2600","-5.12","979","49.23","3042","15.84","43209","1.12","350","0.73"
"297890","HB솔루션","1933","188","10.77","362","5.34",,,"3367","0.57","30","1.55"
"440290","HB인베스트먼트","1837","42","2.34","226","8.13",,,"3223","0.57","120","6.53"
"078150","HB테크놀러지","2930","70","2.45","320","9.16",,,"3208","0.91","20","0.68"
"225530","HC보광산업","2275","25","1.11",,,,,"2530","0.90","50","2.20"
"060560","HC홈센타","2075","60","2.98",,,,,"5570","0.37","50","2.41"
"012630","HDC","21150","1290","6.50","6057","3.49","6033","3.51","59006","0.36","450","2.13"
"039570","HDC랩스","7920","140","1.80","534","14.83","1310","6.05","11616","0.68","450","5.68"
"089470","HDC현대EP","4060","45","1.12","1279","3.17",,,"13772","0.29","160","3.94"
"267270","HD건설기계","142600","-500","-0.35","5698","25.03","11793","12.09","104016","1.37","550","0.39"
"009540","HD한국조선해양","398000","22500","5.99","30664","12.98","54313","7.33","187883","2.12","12300","3.09"
"267250","HD현대","244000","-1500","-0.61","13623","17.91","28718","8.50","143153","1.70","4000","1.64"
"443060","HD현대마린솔루션","247500","2000","0.81","6013","41.16","8855","27.95","18397","13.45","3950","1.60"
"071970","HD현대마린엔진","66000","3700","5.94","4867","13.56","4636","14.24","14413","4.58","0","0.00"
"322000","HD현대에너지솔루션","150500","-2500","-1.63","3721","40.45","9515","15.82","37302","4.03","0","0.00"
"267260","HD현대일렉트릭","1130000","97000","9.39","20354","55.52","30392","37.18","56366","20.05","7100","0.63"
"329180","HD현대중공업","650000","4000","0.62","15702","41.40","31189","20.84","89025","7.30","5661","0.87"
"376270","HEM파마","47000","4550","10.72",,,"3564","13.19","698","67.34","0","0.00"
"097230","HJ중공업","21600","800","3.85","570","37.89","2071","10.43","7416","2.91","0","0.00"
"195940","HK이노엔","41700","-50","-0.12","2672","15.61","3568","11.69","46890","0.89","410","0.98"
"014790","HL D&I","2625","115","4.58","234","11.22","1490","1.76","12211","0.21","0","0.00"
"028300","HLB","46100","-1300","-2.74",,,,,"3159","14.59","0","0.00"
"003580","HLB글로벌","1503","44","3.02",,,,,"1457","1.03","0","0.00"
"278650","HLB바이오스텝","2950","-40","-1.34",,,,,"5610","0.53","0","0.00"
"067630","HLB생명과학","3060","70","2.34",,,,,"2440","1.25","0","0.00"
"024850","HLB이노베이션","14480","530","3.80",,,,,"7280","1.99","0","0.00"
"187420","HLB제넥스","2240","-15","-0.67","775","2.89",,,"1403","1.60","0","0.00"
"047920","HLB제약","10960","250","2.33","141","77.73",,,"3816","2.87","0","0.00"
"115450","HLB테라퓨틱스","2450","20","0.82",,,,,"1705","1.44","0","0.00"
"046210","HLB파나진","1450","23","1.61",,,,,"1591","0.91","0","0.00"
"196300","HLB펩","4770","-10","-0.21",,,,,"2769","1.72","0","0.00"
