종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","41550","1730","4.34","41793.15","42470","43570","41550","326827","14019249414","473670000000","0","11400000","코스피 200","1291.32","59.78","4.85"
"0184E0","1Q 200채권혼합50액티브","12090","450","3.87","11870.39","12220","12255","11725","151268","1827801616","25993500000","0","2150000","코스피 200 단기국공채 혼합지수","2390.85","59.50","2.55"
"491610","1Q CD금리액티브(합성)","104210","15","0.01","104540.28","104200","104210","104195","9164","954912013","191016930000","0","1833000","KIS 하나 CD금리 총수익지수","11795.59","0.00","0.00"
"0182R0","1Q K반도체TOP2+","15670","1370","9.58","15824.30","14970","16300","14545","4733178","73881568222","278142500000","0","17750000","NICE K반도체 TOP2 MAX+ 지수","12554.64","1212.70","10.69"
"0182S0","1Q K반도체TOP2채권혼합50","13550","350","2.65","13552.79","14000","14000","13525","836714","11554083074","182247500000","0","13450000","KEDI K반도체TOP2채권혼합 지수","3881.82","96.88","2.56"
"0103T0","1Q K소버린AI","10020","445","4.65","10027.04","10045","10450","9875","411047","4188387644","26553000000","0","2650000","iSelect K소버린AI 지수","1988.96","81.45","4.27"
"0198D0","1Q SK하이닉스선물단일종목레버리지","21525","980","4.77","21164.29","24100","24480","21525","376431","8861756648","25937625000","0","1205000","KRX SK하이닉스 선물 지수","12114.67","191.14","1.60"
"463290","1Q 단기금융채액티브","108495","-5","0.00","108505.60","108500","108515","108490","11048","1198787614","239231475000","0","2205000","MK 머니마켓 지수(총수익)","14646.83","3.55","0.02"
"0131W0","1Q 단기특수은행채액티브","101475","10","0.01","101482.45","101470","101475","101470","21","2130970","136280925000","0","1343000","KIS 단기특수은행채 지수(총수익)","116.49","0.00","0.00"
"479080","1Q 머니마켓액티브","53365","5","0.01","53361.57","53360","53365","53360","132742","7083421973","880842690000","0","16506000","KIS-하나 MMF 지수(총수익)","119.93","0.00","0.00"
"0026S0","1Q 미국S&P500","13615","90","0.67","13629.75","13635","13680","13610","373051","5087280817","309060500000","0","22700000","S&P 500","7394.30","0.00","0.00"
"0052S0","1Q 미국S&P500미국채혼합50액티브","12520","-20","-0.16","12509.18","12595","12625","12490","355524","4458131354","292968000000","0","23400000","S&P 500 and Short-Term Treasury 50/50 Blend Index","288.51","0.00","0.00"
"0069M0","1Q 미국나스닥100","14795","240","1.65","14834.18","14860","14915","14790","223003","3310189536","187896500000","0","12700000","NASDAQ 100","29446.18","0.00","0.00"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","11855","75","0.64","11864.24","11860","11905","11850","323133","3838040470","284520000000","0","24000000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","3124.19","0.00","0.00"
"0083S0","1Q 미국메디컬AI","10295","-20","-0.19","10350.54","10340","10395","10275","39477","408332296","38091500000","0","3700000","KEDI 미국메디컬AI 지수","1769.18","0.00","0.00"
"0004G0","1Q 미국배당TOP30","9525","20","0.21","9546.02","9505","9550","9495","14072","133964410","13335000000","0","1400000","Solactive U.S. Dividend TOP 30 Index PR","4109.97","0.00","0.00"
"0131V0","1Q 미국우주항공테크","14440","740","5.40","14179.01","14485","14795","14330","1162434","16940694807","607924000000","0","42100000","Akros 미국우주항공테크 지수","4648.31","0.00","0.00"
"0198B0","1Q 삼성전자선물단일종목레버리지","22555","3150","16.23","22628.67","23240","24800","22475","290265","6924929390","24810500000","0","1100000","KRX 삼성전자 선물 지수","5786.10","428.60","8.00"
"0094X0","1Q 샤오미밸류체인액티브","9340","85","0.92","9432.29","9185","9505","9185","9581","89638065","11675000000","0","1250000","Solactive-KEDI Xiaomi Focus China Tech Index","1760.40","19.15","1.10"
"0172V0","1Q 은액티브","9500","340","3.71","9460.40","9575","9630","9470","214030","2045418087","59375000000","0","6250000","Bloomberg Blended Silver Spot USD index","3652.13","0.00","0.00"
"0017Y0","1Q 종합채권(AA-이상)액티브","94180","295","0.31","94266.50","94235","94335","94180","327","30812625","85703800000","0","910000","KIS 종합채권형 지수(AA-이상)(총수익)","119.26","0.00","0.00"
"0052T0","1Q 중단기회사채(A-이상)액티브","50310","30","0.06","50285.70","50285","50320","50285","6020","302716235","89249940000","0","1774000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.50","0.00","0.00"
"495330","1Q 코리아밸류업","38000","1565","4.30","37888.13","38015","39195","37700","50429","1944115342","163400000000","0","4300000","코리아 밸류업 지수","3855.34","175.20","4.76"
"0186S0","1Q 코스닥150채권혼합50액티브","9425","185","2.00","9441.87","9515","9525","9300","357553","3368260235","26861250000","0","2850000","코스닥 150 단기국공채 혼합지수","1550.91","22.23","1.45"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51010","70","0.14","50990.23","51020","51025","50975","2743","139862195","92736180000","0","1818000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11847.77","15.17","0.13"
"0206G0","1Q 현대차기아채권혼합50","9510","140","1.49","9546.55","9600","9660","9465","473873","4550875631","11412000000","0","1200000","KEDI 현대차&기아채권혼합50지수","2063.80","36.34","1.79"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10765","0","0.00","10770.43","10765","10765","10760","2718","29246715","93655500000","0","8700000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","123.05","0.00","0.00"
"105190","ACE 200","129665","5535","4.46","130321.07","132895","135855","129530","443875","59550930230","1932008500000","0","14900000","코스피 200","1291.32","59.78","4.85"
"332500","ACE 200TR","86890","3810","4.59","87266.94","89480","90955","86890","55190","4925034872","199847000000","0","2300000","코스피 200 TR","1710.68","79.19","4.85"
"461270","ACE 26-06 회사채(AA-이상)액티브","11200","0","0.00","11216.38","11220","11220","11200","3907","43759695","195552000000","0","17460000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","125.61","0.00","0.00"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10675","0","0.00","10674.94","10675","10675","10665","28","298650","50279250000","0","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.86","0.00","0.00"
"385600","ACE 2차전지&친환경차액티브","14630","310","2.16","14607.49","15070","15510","14450","46746","707058709","24871000000","0","1700000","FnGuide 친환경 자동차 밸류체인 지수","2624.27","54.80","2.13"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10665","0","0.00","10662.79","10670","10670","10665","4112","43874815","45112950000","0","4230000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","120.57","0.00","0.00"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10665","10","0.09","10660.16","10665","10665","10665","801","8542665","74441700000","0","6980000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","122.33","0.00","0.00"
"469150","ACE AI반도체TOP3+","80435","5535","7.39","80635.54","79815","83680","79695","3292841","268706516739","1395547250000","0","17350000","FnGuide AI반도체 TOP3+ 지수","10100.29","690.51","7.34"
"0079X0","ACE BYD밸류체인액티브","11705","260","2.27","11609.85","11775","11940","11420","2208","25550127","4096750000","0","350000","Bloomberg BYD Plus Top Supply Chain Select Price Return Index","2417.61","0.00","0.00"
"385590","ACE ESG액티브","26890","1165","4.53","27158.24","27565","28055","26890","2383","66077935","61847000000","0","2300000","MSCI Korea Country ESG Leaders Custom Capped Price return Index","5027.16","219.33","4.56"
"226380","ACE Fn성장소비주도주","5945","35","0.59","5989.74","5980","6085","5945","1717","10306770","4161500000","0","700000","FnGuide 성장소비주도 지수","1980.55","8.64","0.44"
"475050","ACE KPOP포커스","8315","15","0.18","8369.88","8350","8540","8220","1371155","11522278377","113499750000","0","13650000","iSelect K-POP 포커스지수(시장가격)","2090.59","2.33","0.11"
"411060","ACE KRX금현물","28210","560","2.03","28490.93","28200","28485","28045","1171471","33083311162","4276636000000","0","151600000","KRX 금현물지수","4774.62","89.00","1.90"
"0172Y0","ACE K수출핵심TOP10산업액티브","11215","365","3.36","11383.53","11475","11535","11135","18511","211087140","11775750000","0","1050000","iSelect K수출핵심산업 지수 (시장가격)","4700.64","205.39","4.57"
"0177X0","ACE K휴머노이드로봇산업TOP2+","12705","595","4.91","12770.06","12780","13640","12680","1105824","14626131787","146107500000","0","11500000","Akros K-휴머노이드 로봇 TOP2+ 지수 (시장가격)","11104.33","595.42","5.67"
"291130","ACE MSCI멕시코(합성)","19595","445","2.32","20126.31","19750","19760","19595","1510","29798540","17635500000","0","900000","MSCI MEXICO IMI 25/50 Price return Index","13626.45","0.00","0.00"
"256440","ACE MSCI인도네시아(합성)","5725","315","5.82","5756.96","5450","5730","5450","107553","605554582","31487500000","0","5500000","MSCI Indonesia Index","4259.29","118.29","2.86"
"261920","ACE MSCI필리핀(합성)","13400","65","0.49","13463.23","13250","13445","13250","327","4377715","5360000000","0","400000","MSCI Philippines IMI Index","1550.49","0.00","0.00"
"0194T0","ACE SK하이닉스단일종목레버리지","20280","940","4.86","19968.80","22650","23000","20280","1034682","22907251541","87204000000","0","4300000","KRX SK하이닉스 지수","12558.41","286.21","2.33"
"0021D0","ACE TDF2030액티브 적격","11505","165","1.46","11483.93","11390","11520","11390","13098","149999225","16107000000","0","1400000","Bloomberg Multi Asset Target-date 2030 KRW Index","2834.49","0.00","0.00"
"0021E0","ACE TDF2050액티브 적격","13070","285","2.23","13120.59","12975","13190","12975","104923","1369766035","66003500000","0","5050000","Bloomberg Multi Asset Target-date 2050 KRW Index","3652.93","0.00","0.00"
"0021C0","ACE TDF장기자산배분액티브","14400","240","1.69","14403.59","14320","14490","14320","16117","231676660","13680000000","0","950000","Bloomberg Multi Asset Target-date 2080 KRW Index","4439.76","0.00","0.00"
"0139P0","ACE 고배당주","14185","285","2.05","14216.76","14150","14470","14072","201694","2874213315","56740000000","0","4000000","KRX-Akros 고배당주 20 지수","3578.16","84.07","2.41"
"0199C0","ACE 고배당주Plus커버드콜액티브","10200","220","2.20","10336.69","10390","10450","10200","1278534","13219894623","108120000000","0","10600000","KRX-Akros 고배당주 20 위클리 고정 30% 커버드콜 지수","2385.69","25.94","1.10"
"225130","ACE 골드선물 레버리지(합성 H)","45405","1355","3.08","45874.79","45590","46500","45375","6197","284052764","22702500000","0","500000","S&P GSCI GOLD Index Excess Return","249.64","5.42","2.22"
"483340","ACE 구글밸류체인액티브","27065","1240","4.80","26602.47","27200","27340","26990","357329","9679917513","328839750000","0","12150000","KEDI 글로벌 AI 클라우드 지수","7482.04","0.00","0.00"
"365780","ACE 국고채10년","82645","680","0.83","82563.92","82400","82645","82345","10439","861142681","590498525000","0","7145000","KIS 10년 국고채 지수 (총수익)","15660.89","135.33","0.87"
"114460","ACE 국고채3년","100095","170","0.17","100128.84","100135","100165","100025","697","69772495","15014250000","0","150000","KTB INDEX(시장가격)","10114.48","24.35","0.24"
"494340","ACE 글로벌AI맞춤형반도체","26070","1275","5.14","26172.97","26230","26795","25800","86227","2278317254","39105000000","0","1500000","Solactive AI Custom Semiconductor Index(PR)","11706.89","0.00","0.00"
"446770","ACE 글로벌반도체TOP4 Plus","90780","2675","3.04","90741.61","92765","93430","90780","345896","32020996551","1815600000000","0","20000000","Solactive Global Semiconductor TOP4 Plus Price Return Index","15446.21","675.20","4.57"
"435040","ACE 글로벌브랜드TOP10","20540","0","0.00","20544.40","20430","20585","20430","986","20186197","14378000000","0","700000","Bloomberg Global Select Industry Leaders TOP10 Index(PR)","4830.65","0.00","0.00"
"497510","ACE 글로벌빅파마","13400","135","1.02","13458.78","13370","13460","13290","5210","69642442","9380000000","0","700000","Solactive Global Big Pharma Index (Price Return)","2164.31","0.00","0.00"
"460960","ACE 글로벌인컴TOP10","12165","25","0.21","12144.90","12175","12190","12115","56313","685320256","88196250000","0","7250000","Solactive Global Superior Income TOP 10 Price Return Index","795.02","0.00","0.00"
"414270","ACE 글로벌자율주행액티브","13975","370","2.72","13927.03","13610","14080","13610","9976","139170935","32142500000","0","2300000","FactSet US-China Electric&Autonomous Vehicle Price Return Index","359.90","3.04","0.85"
"440640","ACE 단기채권알파액티브","111845","10","0.01","111848.78","111815","111870","111805","3395","379687740","68560985000","0","613000","KIS 단기채권알파AA-이상 총수익지수","123.04","0.00","0.00"
"190620","ACE 단기통안채","101380","20","0.02","101381.14","101375","101395","101365","13565","1375248033","300895840000","0","2968000","KIS MSB 단기지수(총수익)","13112.36","2.91","0.02"
