sector,ticker,name,old_group,new_group,evidence,needs_review,status
finance,105560,"KB금융",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,032830,"삼성생명",,"생명보험",chain_overrides §0-4G,false,mapped
finance,055550,"신한지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,086790,"하나금융지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,000810,"삼성화재",,"손해보험·재보험",chain_overrides §0-4G,false,mapped
finance,316140,"우리금융지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,138040,"메리츠금융지주",,"비은행 금융그룹",chain_overrides §0-4G,false,mapped
finance,006800,"미래에셋증권",,"증권",chain_overrides §0-4G,false,mapped
finance,024110,"기업은행",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,005830,"DB손해보험",,"손해보험·재보험",chain_overrides §0-4G,false,mapped
finance,071050,"한국금융지주",,"비은행 금융그룹",chain_overrides §0-4G,false,mapped
finance,323410,"카카오뱅크",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,005940,"NH투자증권",,"증권",chain_overrides §0-4G,false,mapped
finance,016360,"삼성증권",,"증권",chain_overrides §0-4G,false,mapped
finance,039490,"키움증권",,"증권",chain_overrides §0-4G,false,mapped
finance,377300,"카카오페이",,"결제·핀테크",chain_overrides §0-4G,false,mapped
finance,175330,"JB금융지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,029780,"삼성카드",,"카드·캐피탈·여신금융",chain_overrides §0-4G,false,mapped
finance,088350,"한화생명",,"생명보험",chain_overrides §0-4G,false,mapped
finance,138930,"BNK금융지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,001450,"현대해상",,"손해보험·재보험",chain_overrides §0-4G,false,mapped
finance,031210,"서울보증보험",,"손해보험·재보험",chain_overrides §0-4G,false,mapped
finance,139130,"iM금융지주",,"은행·은행계 금융그룹",chain_overrides §0-4G,false,mapped
finance,085620,"미래에셋생명",,"생명보험",chain_overrides §0-4G,false,mapped
finance,003690,"코리안리",,"손해보험·재보험",chain_overrides §0-4G,false,mapped
