sector,ticker,name,new_group,tech_disease_tags,needs_review
bio,128940,"한미약품",종합 제약,"펩타이드|비만·대사",false
bio,000100,"유한양행",종합 제약,"저분자|항암",false
bio,000250,"삼천당제약",종합 제약,"펩타이드|비만·대사",false
bio,068760,"셀트리온제약",종합 제약,"",false
bio,069620,"대웅제약",종합 제약,"",false
bio,195940,"HK이노엔",종합 제약,"",false
bio,086450,"동국제약",종합 제약,"",false
bio,185750,"종근당",종합 제약,"",false
bio,003850,"보령",종합 제약,"",false
bio,317450,"명인제약",종합 제약,"",false
bio,001060,"JW중외제약",종합 제약,"",false
bio,019170,"신풍제약",종합 제약,"",false
bio,249420,"일동제약",종합 제약,"",false
bio,003000,"부광약품",종합 제약,"",false
bio,170900,"동아에스티",종합 제약,"",false
bio,009420,"한올바이오파마",종합 제약,"",false
bio,009290,"광동제약",종합 제약,"",false
bio,041960,"코미팜",종합 제약,"",true
bio,196170,"알테오젠",신약개발,"항체|ADC",false
bio,326030,"SK바이오팜",신약개발,"",false
bio,028300,"HLB",신약개발,"저분자|항암",true
bio,298380,"에이비엘바이오",신약개발,"항체|ADC",false
bio,087010,"펩트론",신약개발,"펩타이드|비만·대사|약물전달",false
bio,141080,"리가켐바이오",신약개발,"항체|ADC",false
bio,310210,"보로노이",신약개발,"저분자|항암",false
bio,347850,"디앤디파마텍",신약개발,"펩타이드|비만·대사",false
bio,226950,"올릭스",신약개발,"RNA",false
bio,140410,"메지온",신약개발,"",false
bio,007390,"네이처셀",신약개발,"",false
bio,0009K0,"에임드바이오",신약개발,"항체|ADC|항암",false
bio,950160,"코오롱티슈진",신약개발,"세포치료|유전자치료",false
bio,039200,"오스코텍",신약개발,"",false
bio,475830,"오름테라퓨틱",신약개발,"항체|ADC|항암",false
bio,115180,"큐리언트",신약개발,"",false
bio,476830,"알지노믹스",신약개발,"RNA",false
bio,456160,"지투지바이오",신약개발,"약물전달",false
bio,048410,"현대바이오",신약개발,"저분자|감염|항암",false
bio,052020,"에스티큐브",신약개발,"항체|항암",false
bio,358570,"지아이이노베이션",신약개발,"항체|자가면역",false
bio,174900,"앱클론",신약개발,"",false
bio,476060,"온코닉테라퓨틱스",신약개발,"항암",false
bio,397030,"에이프릴바이오",신약개발,"항체",false
bio,372320,"큐로셀",신약개발,"세포치료|항암",false
bio,389470,"인벤티지랩",신약개발,"약물전달",false
bio,078160,"메디포스트",신약개발,"세포치료",false
bio,215600,"신라젠",신약개발,"유전자치료|항암",false
bio,082270,"젬백스",신약개발,"",true
bio,199800,"툴젠",신약개발,"유전자치료",true
bio,068270,"셀트리온",바이오시밀러,"",false
bio,950210,"프레스티지바이오파마",바이오시밀러,"",false
bio,302440,"SK바이오사이언스",백신·혈액제제,"",false
bio,006280,"녹십자",백신·혈액제제,"",false
bio,206650,"유바이오로직스",백신·혈액제제,"",false
bio,207940,"삼성바이오로직스",CDMO·CMO,"",false
bio,237690,"에스티팜",CDMO·CMO,"",false
bio,005690,"파미셀",원료의약품·생산소재,"",false
bio,445680,"큐리옥스바이오시스템즈",연구도구·서비스,"연구도구",false
bio,468530,"프로티나",연구도구·서비스,"연구도구",true
bio,0126Z0,"삼성에피스홀딩스",제약·바이오 지주,"",false
bio,008930,"한미사이언스",제약·바이오 지주,"",false
bio,003090,"대웅",제약·바이오 지주,"",false
bio,000640,"동아쏘시오홀딩스",제약·바이오 지주,"",false
bio,005250,"녹십자홀딩스",제약·바이오 지주,"",false
bio,084110,"휴온스글로벌",제약·바이오 지주,"",false
bio,085660,"차바이오텍",제약·바이오 지주,"세포치료",true
medtech,096530,"씨젠",체외진단,"",false
medtech,290650,"엘앤씨바이오",의료소모품·재생재료,"재생재료|인체조직",true
medtech,491000,"리브스메드",수술·치료 장비,"",false
medtech,041830,"인바디",생체측정·모니터링,"",false
medtech,458870,"씨어스",생체측정·모니터링,"",false
medtech,137310,"에스디바이오센서",체외진단,"",false
medtech,328130,"루닛",의료AI·소프트웨어,"",false
medtech,377740,"바이오노트",체외진단,"",false
medtech,340570,"티앤엘",의료소모품·재생재료,"",false
medtech,099190,"아이센스",생체측정·모니터링,"",false
medtech,376900,"로킷헬스케어",의료소모품·재생재료,"",false
medtech,475960,"토모큐브",연구·분석 장비,"",false
medtech,0120G0,"삼양바이오팜",의료소모품·재생재료,"의료소재|제약",true
medtech,060280,"큐렉소",수술·치료 장비,"",false
medtech,067630,"HLB생명과학",체외진단,"",true
medtech,145720,"덴티움",치과,"",false
cosmetics,278470,"에이피알",화장품 브랜드,"",false
cosmetics,090430,"아모레퍼시픽",화장품 브랜드,"",false
cosmetics,051900,"LG생활건강",화장품 브랜드,"",false
cosmetics,214450,"파마리서치",에스테틱 의약품·소모품,"리쥬란|에스테틱",false
cosmetics,161890,"한국콜마",화장품 ODM·OEM,"",false
cosmetics,257720,"실리콘투",유통·채널,"",false
cosmetics,192820,"코스맥스",화장품 ODM·OEM,"",false
cosmetics,145020,"휴젤",에스테틱 의약품·소모품,"톡신|필러",false
