ticker,name,mcap_eok,krx_업종,제안섹터,비고
012750,에스원,30703.34,일반서비스,미분류,물리보안·시설관리(보수적 미분류)
285130,SK케미칼,9497.02,화학,chemical,친환경 코폴리에스터·바이오소재
016590,신대양제지,4162.76,종이·목재,미분류,골판지 원지 제조(보수적 미분류)
078130,국일제지,3900.82,종이·목재,미분류,특수지·박엽지 제조(보수적 미분류)
204620,글로벌텍스프리,3837.47,금융,travel,외국인 택스리펀드(Tax Refund) 대행
126560,현대퓨처넷,3636.39,통신,telecom,통신
002310,아세아제지,3440.00,종이·목재,미분류,골판지 상자·원지(보수적 미분류)
004310,현대약품,3126.40,제약,bio,전문의약품·탈모치료제
020120,키다리스튜디오,3113.36,IT 서비스,kcontent,웹툰·웹소설 플랫폼 및 제작
105840,우진,3092.26,의료·정밀기기,medtech,의료기기
002710,TCC스틸,3077.49,금속,metal,철강·기계
900290,GRT,3073.19,금융,elec,광학보호필름·정밀코팅소재
025770,한국정보통신,3062.94,통신,telecom,통신
452430,사피엔반도체,3062.76,전기·전자,semi,마이크로LED DDI 팹리스
110990,디아이티,3054.24,기계·장비,metal,철강·기계
017890,한국알콜,3049.34,화학,chemical,화학
034830,한국토지신탁,3024.82,기타금융,finance,부동산 신탁·도시정비
168360,펨트론,3023.00,기계·장비,metal,철강·기계
117730,티로보틱스,3022.78,기계·장비,robot,로봇·자동화
