ticker,name,date,prevClose,close,priceRatio,sharesRatio,sharesChanged,이미조정여부
003280,"흥아해운",2019-06-24,354,636,1.7966,0.469,Y,N
003280,"흥아해운",2021-07-08,258,1035,4.0116,0.2238,Y,N
003280,"흥아해운",2021-09-15,1035,2020,1.9517,1,N,N
003620,"KG모빌리티",2022-10-17,2770,8760,3.1625,0.7886,Y,N
004800,"효성",2018-07-13,134000,56500,0.4216,0.3928,Y,N
004990,"롯데지주",2017-10-30,166000,70400,0.4241,5.1838,Y,N
007700,"F&F홀딩스",2021-05-21,180000,63000,0.35,0.5025,Y,N
009410,"태영건설",2020-09-22,21600,9520,0.4407,0.5092,Y,N
009410,"태영건설",2024-07-12,2310,4620,2,0.295,Y,N
016380,"KG스틸",2019-09-19,6000,16600,2.7667,3.6723,Y,N
017670,"SK텔레콤",2021-11-29,309500,57900,0.1871,3.0368,Y,N
020560,"아시아나항공",2021-01-15,4210,18000,4.2755,0.3333,Y,N
027410,"BGF",2017-12-08,79100,28550,0.3609,0.6512,Y,N
035890,"서희건설",2026-05-04,1623,3350,2.0641,1,N,N
042660,"한화오션",2017-10-30,44800,19400,0.433,1,N,N
052400,"코나아이",2020-10-19,13050,23000,1.7625,1,N,N
071970,"HD현대마린엔진",2018-12-27,1135,6160,5.4273,1.1306,Y,N
082740,"한화엔진",2018-06-19,7150,4030,0.5636,0.4741,Y,N
097230,"HJ중공업",2019-05-21,1645,8930,5.4286,0.137,Y,N
115180,"큐리언트",2022-10-07,30300,15450,0.5099,1,N,N
336570,"원텍",2022-04-01,2675,4580,1.7121,1,N,N
950160,"코오롱티슈진",2022-10-25,8010,20850,2.603,1,N,N
